"goal","target","Unit","Date","Value"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2001","244"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2002","252"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2003","256"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2004","256"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2005","261"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2006","269"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2007","275"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2008","262"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2009","236"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2010","219"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2011","208"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2012","202"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2013","199"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2014","189"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1990","365"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1991","342"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1992","339"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1993","340"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1994","349"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1995","363"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1996","373"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1997","389"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1998","401"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1999","419"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2000","433"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2001","430"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2002","430"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2003","434"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2004","439"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2005","435"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2006","425"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2007","416"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2008","431"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2009","463"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2010","485"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2011","501"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2012","510"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2013","513"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis incidence per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2014","488"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1990","94"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1991","94"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1992","94"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1993","94"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1994","95"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1995","95"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1996","95"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1997","96"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1998","96"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","1999","96"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2000","96"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2001","96"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2002","96"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2003","95"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2004","94"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2005","93"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2006","92"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2007","92"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2008","91"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2009","93"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2010","93"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2011","92"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2012","95"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2013","97"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population. Age group Total. Sex Total. Location Total","per 100,000 population","2014","97"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1990","56"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1991","60"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1992","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1993","63"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1994","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1995","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1996","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1997","61"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1998","61"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","1999","60"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2000","60"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2001","61"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2002","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2003","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2004","61"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2005","61"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2006","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2007","62"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2008","60"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2009","56"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2010","54"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2011","50"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2012","51"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2013","52"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (lower bound). Age group Total. Sex Total. Location Total","per 100,000 population","2014","51"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1990","141"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1991","135"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1992","133"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1993","132"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1994","133"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1995","135"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1996","136"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1997","138"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1998","138"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","1999","140"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2000","141"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2001","139"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2002","137"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2003","136"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2004","135"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2005","133"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2006","130"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2007","127"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2008","128"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2009","138"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2010","143"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2011","145"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2012","152"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2013","158"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Tuberculosis deaths per 100,000 population (upper bound). Age group Total. Sex Total. Location Total","per 100,000 population","2014","156"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Malaria incidence per 1,000 population. Age group Total. Sex Total. Location Total","per 1,000 population","2000","438.98"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Malaria incidence per 1,000 population. Age group Total. Sex Total. Location Total","per 1,000 population","2005","425.6"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Malaria incidence per 1,000 population. Age group Total. Sex Total. Location Total","per 1,000 population","2010","367.09"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Malaria incidence per 1,000 population. Age group Total. Sex Total. Location Total","per 1,000 population","2013","342.86"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of people requiring interventions against neglected tropical diseases. Age group Total. Sex Total. Location Total","Number","2014","140381164"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to cancer. Age group 30 - 70. Sex Total. Location Total","Number","2000","57.54"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to cancer. Age group 30 - 70. Sex Total. Location Total","Number","2012","69.18"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to cardiovascular disease. Age group 30 - 70. Sex Total. Location Total","Number","2000","130"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to cardiovascular disease. Age group 30 - 70. Sex Total. Location Total","Number","2012","156.12"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to chronic respiratory disease. Age group 30 - 70. Sex Total. Location Total","Number","2000","26.11"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to chronic respiratory disease. Age group 30 - 70. Sex Total. Location Total","Number","2012","27.08"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to diabetes. Age group 30 - 70. Sex Total. Location Total","Number","2000","24.77"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to diabetes. Age group 30 - 70. Sex Total. Location Total","Number","2012","32"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease. Age group 30 - 70. Sex Total. Location Total","Number","2000","21.58"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease. Age group 30 - 70. Sex Total. Location Total","Number","2012","19.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Suicide mortality rate. Age group Total. Sex Female. Location Total","per 100,000 population","2000","1.82"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Suicide mortality rate. Age group Total. Sex Female. Location Total","per 100,000 population","2012","1.91"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Suicide mortality rate. Age group Total. Sex Male. Location Total","per 100,000 population","2000","6.94"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Suicide mortality rate. Age group Total. Sex Male. Location Total","per 100,000 population","2012","6.58"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Suicide mortality rate. Age group Total. Sex Total. Location Total","per 100,000 population","2000","4.41"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Suicide mortality rate. Age group Total. Sex Total. Location Total","per 100,000 population","2012","4.29"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to suicide. Age group Total. Sex Female. Location Total","Number (Thousands)","2000","1.11"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to suicide. Age group Total. Sex Female. Location Total","Number (Thousands)","2012","1.58"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to suicide. Age group Total. Sex Male. Location Total","Number (Thousands)","2000","4.32"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to suicide. Age group Total. Sex Male. Location Total","Number (Thousands)","2012","5.65"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to suicide. Age group Total. Sex Total. Location Total","Number (Thousands)","2000","5.42"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Number of deaths attributed to suicide. Age group Total. Sex Total. Location Total","Number (Thousands)","2012","7.24"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol. Age group 15+. Sex Total. Location Total","Litres pure alcohol","2005","12.3"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol. Age group 15+. Sex Total. Location Total","Litres pure alcohol","2010","10.1"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol. Age group 15+. Sex Total. Location Total","Litres pure alcohol","2015","11.3"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2000","23.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2001","23.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2002","23.9"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2003","23.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2004","23.2"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2005","23.2"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2006","22.9"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2007","22.9"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2008","22.9"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2009","22.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2010","22.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2011","20.7"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2012","20.5"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Death rate due to road traffic injuries. Age group Total. Sex Total. Location Total","per 100,000 population","2013","20.5"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods. Age group 15 - 49. Sex Female. Location Total","%","2003","27.2"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods. Age group 15 - 49. Sex Female. Location Total","%","2008","27.9"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods. Age group 15 - 49. Sex Female. Location Total","%","2011","28.8"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Adolescent birth rate per 1,000 adolescent women aged 15-19. Age group 15 - 19. Sex Female. Location Total","per 1,000 population","2000","126"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Adolescent birth rate per 1,000 adolescent women aged 15-19. Age group 15 - 19. Sex Female. Location Total","per 1,000 population","2006","123"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Adolescent birth rate per 1,000 adolescent women aged 15-19. Age group 15 - 19. Sex Female. Location Total","per 1,000 population","2007","121"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Adolescent birth rate per 1,000 adolescent women aged 15-19. Age group 15 - 19. Sex Female. Location Total","per 1,000 population","2009","134.02"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Adolescent birth rate per 1,000 adolescent women aged 15-19. Age group 15 - 19. Sex Female. Location Total","per 1,000 population","2010","123"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Adolescent birth rate per 1,000 adolescent women aged 15-19. Age group 15 - 19. Sex Female. Location Total","per 1,000 population","2011","122"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Mortality rate attributed to household and ambient air pollution. Age group Total. Sex Total. Location Total","per 100,000 population","2000","438.98"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Mortality rate attributed to household and ambient air pollution. Age group Total. Sex Total. Location Total","per 100,000 population","2005","425.6"
"Goal 3. Ensure healthy lives and promote well-being for all at all ages","Mortality rate attributed to household and ambient air pollution. Age group Total. Sex Total. Location Total","per 100,000 population","2010","367.09"
